REG_ANS,ANO,TRIMESTRE,PERIODO,DESPESA DE COMERCIALIZAÇÃO DIFERIDA,ATIVO NÃO CIRCULANTE INTANGÍVEL,DESPESAS ANTECIPADAS,CRÉDITO TRIBUTÁRIO,PARTICIPAÇÕES OPS,PARTICIPAÇÕES INSTITUIÇÕES REGULADAS,PARTICIPAÇÕES COOPERATIVAS,APLICAÇÕES GARANTIDORAS,PPSC,RECEITAS FINANCEIRAS,DESPESAS FINANCEIRAS,OUTRAS RECEITAS OPERACIONAIS,OUTRAS DESPESAS OPERACIONAIS,DESPESA,RECEITA,TRIBUTOS DIRETOS,IMPOSTO SOBRE LUCRO,PEONA_OUTROS,PESL_OUTROS,PESL_SUS,REMISSAO,PPCNG,PROVISOES_TECNICAS,DESPESA_ADM,DESPESA_COM,VARIACAO_PEONA,EVENTOS_INDENIZAVEIS_POS,EVENTOS_INDENIZAVEIS_PRE,EVENTOS_INDENIZAVEIS_LIQUIDOS,CORRESP_CEDIDA_POS,CORRESP_CEDIDA_PRE,CONTRAPRESTACAO_POS,CONTRAPRESTACAO_PRE,RECEITA_COM_ASSISTENCIA_A_SAUDE,PL,PASSIVO_NAO_CIRCULANTE,PASSIVO_CIRCULANTE,PASSIVO,CREDITO_OPER_PS,ATIVO_CIRCULANTE,ATIVO,beneficiarios_x,porte_x,beneficiarios_y,porte_y,beneficiarios,porte,CHAVE_PERIODO
362832,2016,2,201602,0.0,15731.31,25773.37,0.0,0.0,0.0,0.0,4105917.23,273008.29,170656.72999999998,53268.8,2523300.6900000004,2863252.6300000004,7970597.01,7525488.120000001,-115254.18000000001,87908.70000000001,1632730.84,712508.23,1422173.06,0.0,0.0,3767412.13,1305041.7200000002,44878.5,63536.02,216423.62,3424195.72,3704155.3600000003,0.0,0.0,126182.72,4894684.629999999,5020867.35,3830373.17,3244761.59,6976780.71,14051915.47,697515.07,9737851.51,14051915.47,7480.0,Pequeno Porte,7480.0,Pequeno Porte,7.480,Pequeno Porte,362832201602
362832,2016,3,201603,0.0,14306.19,22482.85,0.0,0.0,0.0,0.0,4050149.61,16089.700000000012,155089.52000000002,6236.93,2257002.7199999997,2949124.5599999996,8256395.879999999,7705479.829999998,-126834.25999999998,31047.97,1698351.03,766740.97,1481915.22,0.0,0.0,3947007.22,1336268.52,36766.82000000001,65620.19000000002,196967.47000000003,3665411.3900000006,3927999.0500000007,0.0,0.0,195426.19999999998,5273088.040000001,5468514.24,3282571.71,2937481.46,6309778.6,12529831.77,722040.8,7889870.51,12529831.77,7513.0,Pequeno Porte,7513.0,Pequeno Porte,7.513,Pequeno Porte,362832201603
362832,2016,4,201604,0.0,12881.07,11711.68,0.0,0.0,0.0,0.0,4089622.26,-120078.94,264800.15,126909.70000000001,2126315.710000001,2251011.500000001,8032514.07,7721452.25,-129223.95000000001,-1078262.57,1725335.99,858756.82,1578313.39,0.0,2910.35,4165316.55,1534464.5399999996,12787.199999999997,26984.959999999992,-28114.95000000001,4108049.119999999,4106919.129999999,0.0,0.0,218562.16999999998,5321636.869999999,5540199.039999999,3039271.62,3985589.93,5945034.36,12969895.91,767115.16,7985737.78,12969895.91,7460.0,Pequeno Porte,7460.0,Pequeno Porte,7.460,Pequeno Porte,362832201604
363286,2016,1,201601,0.0,157604.44,728052.34,0.0,0.0,1992226.32,0.0,7046928.2,2967026.52,1323252.41,3195103.16,4965871.65,7009857.29,25664242.69,34538213.65,-308333.07,707269.28,6406905.0,5369770.34,4452341.68,0.0,0.0,16229017.02,4157501.53,10669.31,-211353.62,185829.69,10969879.91,10944355.98,0.0,0.0,18642.95,18629750.81,18571740.62,-24335544.28,21518020.46,39638457.95,36820934.13,1234057.98,25785909.24,36820934.13,23676.0,Médio Porte,23676.0,Médio Porte,23.676,Médio Porte,363286201601
363286,2016,2,201602,0.0,144601.77,644009.14,0.0,0.0,2016697.06,0.0,12035431.71,-2274921.73,1489412.3699999999,1248364.29,4015958.41,211169.6299999999,21055946.279999997,22547436.58,-170749.52999999997,362120.3999999999,6249998.16,5428271.59,4595890.57,0.0,0.0,16274160.32,3700693.94,12416.1,-156906.84000000003,178351.32,15769039.399999999,15790483.879999999,0.0,0.0,12828.309999999998,17157321.55,17092569.569999997,-22624515.87,31564813.08,27674708.11,36615005.32,1007355.93,22404382.07,36615005.32,21043.0,Médio Porte,21043.0,Médio Porte,21.043,Médio Porte,363286201602
363286,2016,3,201603,0.0,150523.82,875311.87,0.0,0.0,2016924.88,0.0,11641163.81,103819.54999999993,988128.5100000002,880521.7400000002,3371195.719999999,2348599.040000001,21901247.5,21015379.57,-154204.08999999997,13500.0,6067298.58,4460083.05,4991110.0,0.0,0.0,15518491.63,3446526.1100000003,11811.039999999997,-182699.58000000002,239925.07999999996,15135405.59,15192631.090000004,0.0,0.0,12678.930000000004,16613731.530000001,16533261.270000003,-23005889.81,31749641.57,26848017.8,35591769.56,821125.01,21608848.25,35591769.56,18015.0,Médio Porte,18015.0,Médio Porte,18.015,Médio Porte,363286201603
363286,2016,4,201604,0.0,144975.16,641081.11,0.0,0.0,2017432.95,0.0,11444147.85,301349.66000000003,801397.8099999996,345954.56999999937,2259683.710000001,1340434.92,17649331.159999996,18548681.85000001,-218976.69000000006,95791.29000000004,5765203.81,3431602.76,5304362.3,0.0,0.0,14501168.87,3146277.1500000004,8683.850000000006,-302094.77,164839.4700000001,12702195.920000002,12564940.619999997,0.0,0.0,18822.149999999994,15753700.11,15691328.009999998,-20183215.7,32069127.51,24138206.37,36024118.18,798129.38,21802012.4,36024118.18,17468.0,Médio Porte,17468.0,Médio Porte,17.468,Médio Porte,363286201604
364070,2016,1,201601,0.0,29814.13,15174.04,0.0,293920.4,0.0,0.0,1542639.41,30186.54,272521.15,51232.24,325287.47,362975.14,4710864.86,5577758.56,-93387.13,0.0,1139596.44,558705.84,199787.5,0.0,0.0,1898089.78,992458.62,56758.79,45990.6,725730.67,2414329.83,3186051.1,0.0,0.0,1441254.29,3632082.78,5073337.07,10596599.46,4677326.02,4131101.3,19405026.78,415622.51,9384246.83,19405026.78,17751.0,Pequeno Porte,17751.0,Pequeno Porte,17.751,Pequeno Porte,364070201601
364070,2016,2,201602,0.0,34337.07,20161.59,0.0,410931.15,0.0,0.0,2035569.08,36927.420000000006,292849.95999999996,103717.41,477168.97,418636.54000000004,5658493.999999999,6338710.81,-189919.56,127423.51,1293789.08,504532.58,229858.59,0.0,0.0,2028180.25,1155758.0499999998,54998.49,154192.63999999998,807015.08,2964175.79,3925383.5100000002,0.0,0.0,1500216.3900000001,4141384.3000000003,5641600.6899999995,11067922.2,4502938.31,3802914.04,19373774.55,428631.81,8311902.13,19373774.55,18111.0,Pequeno Porte,18111.0,Pequeno Porte,18.111,Pequeno Porte,364070201602
364070,2016,3,201603,0.0,33618.48,14994.52,0.0,414727.83,0.0,0.0,2131061.13,92724.02,230510.12,102322.64000000001,442941.6100000001,415504.61,5481096.41,6123717.92,-138230.96000000002,37583.740000000005,1160629.06,435557.88,233545.38,0.0,0.0,1829732.32,1190863.33,64804.76999999999,-133160.02,848055.02,2992706.0599999996,3707601.0599999996,0.0,0.0,1585504.7499999995,4002992.4000000004,5588497.15,11685680.7,4633279.3,3367563.41,19686523.41,453800.51,8242490.6,19686523.41,18373.0,Pequeno Porte,18373.0,Pequeno Porte,18.373,Pequeno Porte,364070201603
